longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,Unnamed: 8,ocean_proximity,median_house_value,,median_house_value
-121.46,38.52,29,3873,797,2237,706,2.1736,,INLAND,80228,,72100
-117.23,33.09,7,5320,855,2015,768,6.3373,,NEAR OCEAN,362445.08,,279600
-119.04,35.37,44,1618,310,667,300,2.875,,INLAND,78901,,82700
-117.13,32.75,24,1877,519,898,483,2.2264,,NEAR OCEAN,166452.03,,112500
-118.7,34.28,27,3536,646,1837,580,4.4964,,<1H OCEAN,206343,,238300
-122.04,37.96,28,1207,252,724,252,3.6964,,NEAR BAY,178208.01,,165700
-122.03,37.33,23,4221,671,1782,641,7.4863,,<1H OCEAN,391048.05,,412300
-118.31,34.2,36,1692,263,778,278,5.0865,,<1H OCEAN,280129,,349600
-121.95,37.27,17,1330,271,408,258,1.7171,,<1H OCEAN,206590.02,,181300
-118.28,34.02,29,515,229,2690,217,0.4999,,<1H OCEAN,201159,,500001
-121.54,39.08,23,1076,216,724,197,2.3598,,INLAND,111847,,57500
-117.99,33.69,12,2480,858,1441,788,1.6705,,<1H OCEAN,153290,,350000
-116.39,33.69,10,11659,2007,2186,1083,6.9833,,INLAND,261074,,238800
-119.83,36.78,30,3162,640,1660,639,2.8359,,INLAND,82181,,80300
-117.22,32.83,31,2558,512,1164,492,3.4318,,NEAR OCEAN,282246.12,,200400
-121.88,37.37,14,6016,1404,3258,1316,3.5745,,<1H OCEAN,217290,,333700
-118.08,33.93,39,1478,324,1127,320,3.525,,<1H OCEAN,165736,,158000
-117.91,33.65,17,1328,377,762,344,2.2222,,<1H OCEAN,211962.04,,276800
-122.53,37.9,44,2846,551,1232,537,3.8839,,NEAR BAY,313269.06,,327200
-117.86,33.79,42,1024,191,483,187,4.105,,<1H OCEAN,191878.02,,194500
-117.26,34.48,6,4632,753,1851,694,4.1933,,INLAND,131521,,163100
-122.28,37.91,48,2083,298,685,286,7.3089,,NEAR BAY,378214.15,,331200
-121.23,38.79,45,907,176,463,190,2.2292,,INLAND,83375,,92000
